"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","NOTES"
"14",3,"De'Von Achane",MIA,"RB7","6","Last season, De’Von Achnae was the RB5 in fantasy points per game while racking up 305 touches and 1,838 total yards. After a dip in 2024, he returned to being an otherworldly back in terms of efficiency. Among 49 qualifying backs, Achane was first in explosive run rate, 13th in missed tackle rate, and sixth in yards after contact per attempt (per Fantasy Points Data). He was also a key cog in the passing game, ranking second among backs in target share (18.7%), 12th in yards per route run, and fourth in receiving yards. He was fifth in targets among backs with 85. That number is sure to drop this season with Malik Willis in Miami. I don’t think he’ll be a zero in the passing game, especially considering the receiving depth chart for Miami, but Willis’s rushing ability will lead to fewer checkdowns for Achane in 2026. Achane should still be considered an insanely talented RB1 that could lead the NFL in rushing yards this season, but if his receiving work takes a hit, he’ll probably lack top 3-5 upside at the position."
"15",3,"Nico Collins",HOU,"WR8","8","Nico Collins continued his run as Houston’s unquestioned WR1 in 2025, posting his third 1,000-yard season in the last four years while finishing as a top-10 fantasy receiver once again. Despite battling injuries, Collins remained highly efficient and continued to dominate targets and red-zone usage in the Texans offense. Interestingly, his production actually improved without C.J. Stroud under center, though a bounce-back season from the young QB would elevate Collins’ ceiling even further. At worst, Collins profiles as a reliable fantasy WR1/WR2 hybrid with one of the strongest WR efficiency profiles in the NFL."
"16",3,"Chase Brown",CIN,"RB8","6","Last year, Chase Brown started slowly as the RB34 in fantasy points per game in Weeks 1-5. After that point, he was exactly who fantasy gamers thought they were drafting as the RB6 in fantasy points per game. In Weeks 6-18, among 48 qualifying backs, he ranked 17th in explosive run rate, fifth in yards after contact per attempt, and 16th in missed tackles forced per attempt (per Fantasy Points Data). During that span, he averaged 18.2 touches and 100.1 total yards. Brown had to deal with Samaje Perine eating into his workload during Weeks 13-18, but it didn’t capsize his production. During that stretch, while he did play 60.5% of the snaps and 71.6% of the snaps in the red zone, he did have 17 red zone carries versus Perine’s 13. If Brown can capture more of the red zone work in 2026, his ceiling and floor will be raised considerably from a week-to-week and season-long perspective. Brown is a solid RB1 with top-five upside this season."
"17",3,"Brock Bowers",LV,"TE1","13","There are great expectations for Brock Bowers in his third NFL season following an injury-plagued Year 2. Bowers had five catches for 103 yards in the Raiders’ 2025 season opener against the Patriots, but he sustained a PCL injury and bone bruise to his left knee in that game, was clearly hampered over his next three games (with under 50 receiving yards in each) and was shut down for three games. Upon his return, Bowers scored seven touchdowns in eight games before the Raiders, looking to protect their star TE and also secure the No. 1 pick in the draft, placed Bowers on injured reserve, keeping him out of their last two contests. Widely considered one of the best TE prospects to ever enter the league, Bowers had 112 catches for 1,194 yards and five touchdowns on 153 targets as a rookie. With better health in 2026, he has a chance to match or exceed his rookie numbers. The Raiders are talent-starved at wide receiver, so Bowers is poised to be their alpha pass catcher. New head coach Klint Kubiak has been entrusted to repair the Las Vegas offense. No. 1 overall draft pick Fernando Mendoza offers hope at the QB position, and the Raiders also have TE-friendly QB Kirk Cousins, who was quarterbacking the Falcons last year in Week 15, when TE Kyle Pitts had 11 catches for 166 yards and three TDs. Bowers is worth a look in the back half of the second round or early in the third round of 12-team fantasy drafts."
"18",3,"Saquon Barkley",PHI,"RB9","10","I tried to tell people last year, but few wanted to listen. After an insane 2024 season, Saquon Barkley was poised to come back down to earth some in 2025. Well, it happened. Barkley finished with 317 touches and 1,413 total yards as the RB14 in fantasy points per game. Part of this could be traced to natural regression, but also, Barkley had a decent dip in efficiency. In 2024, Barkley had an insane 3.55 yards before contact per attempt, which easily led all running backs (minimum 100 carries, per Fantasy Points Data). Last year, that number fell to 2.11, which was 23rd among 49 qualifying backs, essentially a league-average number. From 2024 to 2025, Barkley’s explosive run rate dropped from 7.2% (fourth-best) to 4.6% (20th), and his yards after contact per attempt dipped from 2.26 (35th) to 1.96 (39th). Barkley lived off explosive runs and easily getting into the second level of defenses in 2024, but he found more uphill sledding last year. His volume should finish in the neighborhood of 300 touches with double-digit touchdown upside. That should lock him into top-15 running back status with possible top 5-7 upside if the offensive line can stay healthy and the Eagles’ passing attack can also bounce back. If the aerial attack can get right, this team and Barkley will have more scoring opportunities in 2026 (last year, 28th in red-zone scoring opportunities per game)."
"19",3,"Trey McBride",ARI,"TE2","14","It will be hard for Trey McBride to top the year he had in 2025. He finished the season with 126 catches for 1,239 yards and 11 touchdowns on 169 targets. Among all pass catchers, McBride trailed only Puka Nacua in receptions. McBride also ranked third in targets among all pass catchers and tied for second in TD catches. It was an impressive follow-up to a 2024 season in which McBride had 111 catches for 1,146 yards and two touchdowns. There are reasons to think that McBride might have a hard time matching his 2025 numbers this season. The Cardinals threw at the highest rate in the NFL last season. That’s not likely to happen again after the team drafted a running back, Jeremiyah Love, No. 3 overall. The Cardinals are also looking to get Marvin Harrison Jr. more involved after two disappointing seasons. McBride is clearly one of the elite tight ends and is worthy of a top-25 draft pick. Just don’t expect a full repeat of last year."
"20",4,"Omarion Hampton",LAC,"RB10","7","Last year, Omarion Hampton’s rookie season was derailed by an ankle injury in Week 5. When he came back, he wasn’t close to 100% healthy and had only one game with over a 55% snap rate. Any games after Week 4 last year, I’m just tossing in the trash because that wasn’t the “real” Hampton. In 2025, in Weeks 1-4, Hampton averaged 17 touches and 95 total yards as the RB13 in fantasy points per game. In that small sample of games, he posted a 7.4% explosive run rate, a 19% missed tackle rate, and 2.54 yards after contact per attempt (per Fantasy Points Data). If he had kept up that pace the entire year in those three categories, he would have ranked fourth, tenth, and eighth in those categories (minimum 100 carries). Those are impressive numbers and speak to his talent and upside in 2026 as Mike McDaniel’s possible bellcow. Hampton also contributed through the air in his first four NFL games with a 10.1% target share, 27.5 receiving yards per game, and 1.12 yards per route run. McDaniel is sure to get Hampton involved through the air after designing offenses of the last three seasons that have ranked third, third, and seventh in target share to the running back position. Yes, I know that Hampton isn’t De’Von Achane, but this is still a feather in Hampton’s cap. Hampton should be a rock-solid RB1 with massive upside in 2026."
"21",4,"George Pickens",DAL,"WR9","14","George Pickens delivered a true breakout in 2025, finishing as a top-6 fantasy WR despite sharing targets with CeeDee Lamb in Dallas. The big-play specialist thrived on efficiency and touchdown production, averaging 84.1 receiving yards per game with nine scores while consistently delivering spike-week upside. Pickens proved capable of producing WR1 numbers even alongside a healthy Lamb, although his high-variance play style makes weekly volatility part of the package. If he avoids a contract-related holdout and maintains his chemistry with Dak Prescott, Pickens should remain a low-end fantasy WR1 with week-winning upside."
"22",4,"A.J. Brown",NE,"WR10","11","A.J. Brown remains one of the NFL’s premier alpha receivers despite a frustrating 2025 season in Philadelphia (WR11 PPG). After being traded to New England, Brown should immediately command massive volume and reclaim high-end WR1 upside, with an ascending quarterback in Drake Maye. Even in a down year, Brown still posted elite target share numbers and remained highly productive on a per-game basis. With him on a pass-heavy offense that is willing to feature him as the focal point, a major fantasy bounce-back and WR1 szn is LOADING for AJB."
"23",4,"Chris Olave",NO,"WR11","8","Chris Olave finally delivered the WR1 fantasy season managers had been waiting for, finishing as a top-10 WR after commanding elite volume in Kellen Moore’s fast-paced offense. The Saints wideout took his game to another level late in the year once Tyler Shough settled in at quarterback, finishing the fantasy playoffs as one of the highest-scoring receivers in football. Olave’s target dominance and downfield role give him a very strong weekly floor, although the addition of rookie Jordyn Tyson could slightly cap his ceiling moving forward. Even if some touchdown regression hits, Olave remains a reliable WR1/WR2 option attached to one of the NFL’s more aggressive passing attacks."
"24",4,"Kenneth Walker III",KC,"RB11","5","Kenneth Walker arrives in Kansas City as the Chiefs’ new lead back. Walker had a disappointing season in 2025 from a fantasy standpoint as the RB28 in fantasy points per game, but it’s easy to see why it unfolded that way. Walker had to split the passing game usage with Zach Charbonnet, and he was shown the cold shoulder by Seattle in the red zone. Last year, Walker had a 31.9% route share versus Charbonnet’s 34.7% route share (per Fantasy Points Data). In the games that Charbonnet was active, Walker saw only 34.8% of the running back red zone rushing work (30 red zone carries versus Charbonnet’s 51). With a lucrative contract signed and delivered for Walker, I don’t see him missing out on the high usage boat in 2026. Talent isn’t the problem for Walker; it was just the way that Seattle deployed him. Last year, Walker ranked second in explosive run rate, first in missed tackle rate, ninth in yards per route run, and 12th in first downs per route run. He was a per-touch efficiency marvel. I don’t foresee him being a true bellcow with Kansas City, and I don’t want that because he has dealt with injury issues in the past. With his salivating mix of talent and efficiency, Walker should be an explosive RB1 in 2026."
"25",4,"Derrick Henry",BAL,"RB12","13","Last year was another impressive year for Derrick Henry. He didn’t show any signs of slowing down with 307 rushing attempts, 1.595 rushing yards, 16 total touchdowns, and an RB8 finish in fantasy points per game. Last year, among 49 qualifying backs, Henry ranked 16th in yards after contact per attempt and seventh in explosive run rate (per Fantasy Points Data). Henry won’t contribute much in the passing game, but that’s a given at this point. It doesn’t crush his overall production, but it isn’t there to help add to his weekly floor. Henry had five games last year as RB25 or lower in weekly fantasy scoring. I still want to invest in Henry as an RB1 again in 2026. If Lamar Jackson can bounce back, Henry could inch back closer to his 2024 production (RB4 in fantasy points per game). He’s at worst a low-end RB1 with top-five upside."
"26",4,"Josh Allen",BUF,"QB1","7","Josh Allen is once again the consensus QB1 in fantasy. He finished QB1 in fantasy scoring last season for the fourth time in the last six years. After down years from Lamar Jackson and Jalen Hurts, the gap between Allen and other fantasy QBs seems to have widened. And yet, there are at least a few small gray clouds dotting Allen’s profile. In 2025, he hit a six-year low in passing yards per game (215.8), TD passes (25), and fantasy points per game (22.0). A lack of pass-catching weaponry has been a problem. Khalil Shakir led the Bills with 719 receiving yards in 2026, and Buffalo hasn’t had even a 900-yard receiver since Stefon Diggs left after the 2023 season. The Bills traded for D.J. Moore in March in an attempt to give Allen additional help. But what really anchors Allen’s fantasy value is his rushing. He ran for 579 yards and 14 touchdowns in 2025 - his third consecutive season with double-digit TD runs. Over the last five years, Allen has averaged 640 rushing yards and 10.8 TD runs."
"",4
"27",4,"Rashee Rice",KC,"WR12","5","Rashee Rice has a super-high ceiling given how much he was targeted in the red zone this past season (a ton of screen passes). Rice finished top-5 among WRs in PPG during his truncated season. 7th overall in red-zone targets in just 8 games played. Given that his draft price might be slightly reduced due to his off-field issues and the injured QB...Rice could easily be a league winner after it was announced in early April that he would not face discipline from the NFL."
"28",4,"Malik Nabers",NYG,"WR13","8","Malik Nabers remains an elite talent, but his 2026 outlook is heavily tied to recovery from a complicated ACL injury that wiped out nearly all of his sophomore season. Before going down, Nabers was producing like a fantasy WR1 in the Giants’ offense. The concern isn’t ability &mdash; it’s availability, especially after requiring a second procedure during rehab. Nabers still offers league-winning upside once fully healthy, but fantasy managers should build in the expectation of missed time and a slower early-season ramp-up."
"29",5,"Tetairoa McMillan",CAR,"WR14","5","Tetairoa McMillan wasted no time establishing himself as Carolina’s clear-cut WR1, winning Offensive Rookie of the Year after nearly topping 1,100 receiving yards on 126 targets. The rookie standout commanded elite volume immediately, finishing with a 23% target share and massive 41% air yards share despite operating in a run-heavy offense. McMillan consistently delivered as Bryce Young’s go-to option and flashed massive upside whenever the Panthers leaned into the passing game. After such a polished rookie campaign, T-Mac looks poised to make the jump into the fantasy WR1 conversation entering Year 2."
"30",5,"Jeremiyah Love",ARI,"RB13","14","Well, it happened. Jeremiyah Love went top five in the NFL Draft to the Arizona Cardinals, who already have Tyler Allgeier and James Conner on the depth chart. With that type of draft capital investment, I think Love will be Arizona’s lead back in 2026, but he could have his workload eaten into by Allgeier and/or Conner. Love’s talent isn’t in question. Over the last two years in college, he ranked inside the top 15 backs in each season in yards after contact per attempt, breakaway rate, and elusive rating (per PFF). He’s also a stellar pass catcher, as evidenced by sitting at 17th in yards per route run among FBS backs last year and drawing a 10.9% target share. The Cards look like one of the worst teams in the NFL with concerning quarterback play. The cluttered backfield and worrisome scoring environment could hinder Love in 2026, keeping him as a strong RB2, but locking him out of RB1 status. If he does get the lion’s share of the work, and their grouping of quarterbacks can produce something close to league-average passing production, Love could be a top 12 back."
"31",5,"Tee Higgins",CIN,"WR15","6","Tee Higgins continues to thrive as Cincinnati’s high-end No. 2 option, finishing as the WR12 overall in 2025 thanks to strong efficiency and double-digit touchdown production. Even with a modest target share, Higgins maximizes his opportunities in one of the NFL’s premier passing offenses led by Joe Burrow. His weekly ceiling remains extremely high, especially near the end zone, although Ja’Marr Chase’s presence naturally caps Higgins’ overall target volume. As long as he stays healthy, Higgins profiles once again as a reliable fantasy WR2 with league-winning upside if Chase ever misses time."
"32",5,"DeVonta Smith",PHI,"WR16","10","DeVonta Smith enters 2026 positioned to lead the Eagles in targets with A.J. Brown no longer in Philadelphia. The former first-round pick has consistently flashed WR1 upside whenever Brown or Dallas Goedert have missed time, while quietly delivering his third 1,000-yard season in 2025. Smith was extremely efficient last season, posting career highs in yards per route run (3.1) and yards per target (11.9) when aligned out wide. Even with rookie Makai Lemon added to the mix, Smith profiles as the clear focal point of the Eagles’ passing attack with top-12 fantasy upside."
"33",5,"Lamar Jackson",BAL,"QB2","13","Injuries and a steep decline in rushing production cratered Lamar Jackson’s fantasy value in 2025. After finishing QB1 in fantasy scoring in 2024, Jackson plummeted to a QB20 fantasy finish last season and was QB16 in fantasy points per game at the position. Jackson lost three games to an early-season hamstring injury and one game to a late-season back injury. He also dealt with knee, ankle, and toe issues that may have contributed to the sharp drop-off in his rushing numbers. In his first six seasons as a full-time starter, Jackson averaged 10 rushing attempts and 63 rushing yards per game. In 2026, he averaged 5.2 rushing attempts and 26.8 rushing yards per game. Jackson has been an elite fantasy scorer at the position for so long that it’s reasonable to think better health will propel him to another high-end QB1 season. It’s worth noting, however, that Jackson will be working with a new offensive coordinator, 29-year-old Declan Doyle, a former assistant to Bears head coach Ben Johnson."
"34",5,"Drake Maye",NE,"QB3","11","In only his second NFL season, Drake Maye finished QB2 in fantasy scoring, averaging 21.1 fantasy points per game. Maye was sublime as a passer last year, leading the NFL in completion percentage (72.0%), yards per pass attempt (8.9) and passer rating (113.5). Maye finished a close second in the MVP balloting behind the Rams’ Matthew Stafford. Aided by the tailwinds of a favorable regular-season schedule, Maye produced 4,394 passing yards and 31 TD passes. He also chipped in as a runner with 450 rushing yards and four TD runs - and his bountiful college rushing stats suggest there’s still more meat on that bone. Maye got a rude wakeup call in the playoffs, completing 58.3% of his throws and averaging 207 passing yards per game and 6.9 yards per attempt in a four-game run against the Chargers, Texans, Broncos and Seahawks - all among the best pass defenses in the league. Despite the sour ending, Maye’s second NFL season was a triumph. He’s a top-five fantasy quarterback moving forward."
"35",5,"Josh Jacobs",GB,"RB14","11","Josh Jacobs has been the RB8 and RB9 in fantasy points per game during his two seasons in Green Bay. he dealt with a knee injury last season, which impacted his snap share and effectiveness. Last year, after Week 6, he surpassed 60% of the snaps in only two games. I wouldn’t be surprised to see Green Bay limit his playing time to an extent this year to keep him healthy all year, but that’s just a projection. I also wouldn’t be shocked to see them run him out there for 70-80% of the snaps weekly if his body can hold up. Last year, he ranked 22nd in explosive run rate and 19th in missed tackle rate (per Fantasy Points Data). Jacobs’ touchdown equity in the Green Bay offense has helped him a ton over the last two seasons, as he has averaged 15 total touchdowns per season while ranking ninth and fifth in red zone touches. Jacobs is a top 20 back with RB1 upside in 2026."
"36",5,"Kyren Williams",LAR,"RB15","11","Kyren Williams continues to motor along with RB1 seasons. Last year, he was the RB10 in fantasy points per game after seasons as the RB10 and RB2 in fantasy points per game. Williams had to deal with more work for Blake Corum last year, but he still retained his lead role overall and in the red zone. In Weeks 7-18, Williams still saw 63% of the red zone rushing attempts while Corum helped him with the heavy lifting on early downs in between the 20s. With the workload lightened a tad, Williams did post improved rushing efficiency metrics, ranking 21st in explosive run rate, 25th in missed tackle rate, and 18th in yards after contact per attempt (per Fantasy Points Data). Williams should remain the lead back for one of the NFL’s best offenses in 2026 and turn in another low-end RB1 season."
"37",5,"Breece Hall",NYJ,"RB16","13","Breece Hall had a tough time last year despite finishing as the RB20 in fantasy points per game. New York’s quarterback play was dreadful, and the offense overall was a mess, which led to them ranking 29th in points per game and red zone scoring opportunities per game. The good news is that despite those factors, he ran behind an offensive line that ranked seventh in adjusted yards before contact per attempt (per Fantasy Points Data). New York’s offensive line remains largely intact while adding Dylan Parham to the mix to replace the often-injured and departed Alijah Vera-Tucker, so they could easily be a top-shelf unit in 2026. The Jets also added Geno Smith, Omar Cooper Jr., and Kenyan Sadiq to the mix, which will raise the ceiling and floor of the overall offensive environment. This is all great news for a back that was also fourth in explosive run rate and tenth in missed tackle rate last year. Hall should enjoy more scoring opportunities this season and hopefully a bounce back in the receiving department while finishing with a career-low 10.9% target share last season. Hall should be considered a top-shelf RB2 with RB1 upside."
"38",5,"Colston Loveland",CHI,"TE3","10","The 10th overall pick of the 2025 NFL Draft, Colston Loveland put together an impressive rookie season that got better and better as it wore on. Loveland finished TE12 in half-point PPR scoring as a rookie with 58 catches for 713 yards and six touchdowns. From Week 9 on, Loveland was TE2 in fantasy scoring behind only Trey McBride. Over Chicago’s last four games - two in the regular season, two in the playoffs - Bears head coach Ben Johnson fully unleashed Loveland. The rookie tight end had 10 or more targets in each of those games, averaging 12.0 targets, 7.0 catches and 94.5 receiving yards over that stretch, with a pair of TDs. In the Bears’ playoff win over the Packers, Loveland was targeted 15 times and had eight catches for 137 yards. The 6-6, 241-pound Loveland is a matchup nightmare with his size and speed. Loveland is the consensus TE3 for 2026 fantasy drafts behind only Brock Bowers and Trey McBride."
"39",5,"Garrett Wilson",NYJ,"WR17","13","Garrett Wilson’s injury-shortened 2025 masked what looked like a target monster season before he got hurt. The Jets star commanded an elite 30% target share early in the season despite subpar quarterback play, reinforcing his status as one of the league’s top target earners. With Geno Smith now under center and improved offensive line play in New York, Wilson is set up for a bounce-back campaign. Even with added target competition in the form of two first-round rookies, Wilson projects as the clear centerpiece of the Jets passing attack and an underrated fantasy WR1 candidate in 2026."
"40",5,"Zay Flowers",BAL,"WR18","13","There’s a world where Zay Flowers has the talent to be a top-5 fantasy WR if he can ever score TDs. Over 1,200 yards. 86 catches and 5 TDs (WR7) in 2025. WR3 over the last five games. 4+ catches in 13 of his 17 games: a testament to his reliable floor and consistent involvement. 5th in target share (28%). 11th in air yards share (35%). 4th in yards per route run behind Puka Nacua, Jaxon Smith-Njigba and Luther Burden."
"41",5,"Ladd McConkey",LAC,"WR19","7","Don’t hold the OL injuries against the Chargers’ skill players. Ladd McConkey specifically. The Chargers’ WR failed to live up to his expectations from his rookie season, as Keenan Allen’s presence capped his target/production ceiling. The 33-year-old WR LED the Chargers in targets under OC Greg Roman (hyper-targeted on third downs). But with Roman replaced by Mike McDaniel, we should expect McConkey to finish closer to his rookie season, when he averaged 2.6 YPRR. McDaniel knows how to deploy his WRs to achieve peak efficiency both for real-life and fantasy purposes."
